0018f8	Cisco
001906	Cisco
001907	Cisco
00192c	CommScope
00192d	Nokia
00192f	Cisco
001930	Cisco
001947	Cisco
00194b	Sagemcom
00194f	Nokia
001955	Cisco
001956	Cisco
00195b	D-Link
00195e	CommScope
001963	Sony
001977	Extreme
001979	Nokia
00198f	Nokia
001992	Adtran
0019a6	CommScope
0019a9	Cisco
0019aa	Cisco
0019b7	Nokia
0019c0	CommScope
0019c5	Sony
0019c6	ZTE
0019cb	Zyxel
0019d1	Intel
0019d2	Intel
0019df	Technicolor
0019e0	TP-Link
0019e2	Juniper
0019e3	Apple
0019e4	Pace
0019e7	Cisco
0019e8	Cisco
001a0d	Cisco
001a11	Google
001a16	Nokia
001a1b	CommScope
001a2f	Cisco
001a30	Cisco
001a4f	AVM (FRITZ!Box)
001a66	CommScope
001a6c	Cisco
001a6d	Cisco
001a70	Cisco
001a75	Sony
001a77	CommScope
001a80	Sony
001a83	ASUS
001a89	Nokia
001a8a	Samsung
001a92	ASUS
001aa1	Cisco
001aa2	Cisco
001aad	CommScope
001ac4	Pace
001adb	CommScope
001adc	Nokia
001ade	CommScope
001ae2	Cisco
001ae3	Cisco
001afb	Cisco
001b0c	Cisco
001b0d	Cisco
001b11	D-Link
001b21	Intel
001b2a	Cisco
001b2b	Cisco
001b2f	Netgear
001b33	Nokia
001b52	CommScope
001b53	Cisco
001b54	Cisco
001b59	Sony
001b5b	Pace
001b63	Apple
001b67	Cisco
001b77	Intel
001b8f	Cisco
001b90	Cisco
001b98	Samsung
001baf	Nokia
001bbf	Sagemcom
001bc0	Juniper
001bd4	Cisco
001bd5	Cisco
001bd7	Cisco
001bdd	CommScope
001bee	Nokia
001bfc	ASUS
001c0e	Cisco
001c0f	Cisco
001c10	Cisco
001c11	CommScope
001c12	CommScope
001c35	Nokia
001c39	Samsung
001c43	Samsung
001c4a	AVM (FRITZ!Box)
001c57	Cisco
001c58	Cisco
001c62	LG
001c9a	Nokia
001ca4	Sony
001cb0	Cisco
001cb1	Cisco
001cb3	Apple
001cbf	Intel
001cc0	Intel
001cc1	CommScope
001cc3	CommScope
001cd4	Nokia
001cd6	Nokia
001cdf	Belkin
001cf0	D-Link
001cf6	Cisco
001cf9	Cisco
001cfb	CommScope
001d0d	Sony
001d0f	TP-Link
001d25	Samsung
001d28	Sony
001d2e	Ruckus
001d3b	Nokia
001d45	Cisco
001d46	Cisco
001d4f	Apple
001d5a	Pace
001d60	ASUS
001d68	Technicolor
001d6b	CommScope
001d6e	Nokia
001d70	Cisco
001d71	Cisco
001d7e	Cisco
001d98	Nokia
001da1	Cisco
001da2	Cisco
001daa	DrayTek
001db5	Juniper
001dba	Sony
001dbe	CommScope
001dcd	CommScope
001dce	CommScope
001dcf	CommScope
001dd0	CommScope
001dd1	CommScope
001dd2	CommScope
001dd3	CommScope
001dd4	CommScope
001dd5	CommScope
001dd6	CommScope
001dd8	Microsoft
001de0	Intel
001de1	Intel
001de5	Cisco
001de6	Cisco
001de9	Nokia
001ded	Cisco
001df6	Samsung
001dfd	Nokia
001e10	Huawei
001e13	Cisco
001e14	Cisco
001e2a	Netgear
001e3a	Nokia
001e3b	Nokia
001e45	Sony
001e46	CommScope
001e49	Cisco
001e4a	Cisco
001e52	Apple
001e58	D-Link
001e5a	CommScope
001e64	Intel
001e65	Intel
001e67	Intel
001e69	Technicolor
001e6b	Cisco
001e73	ZTE
001e74	Sagemcom
001e75	LG
001e79	Cisco
001e7a	Cisco
001e7d	Samsung
001e8c	ASUS
001e8d	CommScope
001ea3	Nokia
001ea4	Nokia
001ea7	Actiontec
001ebd	Cisco
001ebe	Cisco
001ec2	Apple
001ec7	Pace
001edc	Sony
001ee1	Samsung
001ee2	Samsung
001ee5	Cisco
001ef6	Cisco
001ef7	Cisco
001f00	Nokia
