152491	IN	RMDC-AS-IN RACKMONK DATACENTERS PRIVATE LIMITED
12198	US	JSMSR-LLC
215391	TR	HOSTABIL
154132	BD	MUI-AS-AP MS UMARA INTERNATIONAL
32167	US	LSHIY-USER-CONTENT
135682	IN	AWDHPL-AS-IN Advika Web Developments Hosting Pvt Ltd
25369	GB	BANDWIDTH-AS
207043	GB	DEDIK-IO
21859	US	ZEN-ECN
200019	MD	ALEXHOST
402187	US	AANSYS-NET - AANSys Network LLC
209800	DE	METASPINNER-ASN
400529	US	INFRALY-LLC
152460	NL	GREENHOST-AS-AP Greenhost BV
207083	EE	HOSTSLIM-GLOBAL-NETWORK
402425	US	QLL-AS-001 - QOREXA
401615	US	ACCK-LTD
199863	FR	CORCELINK
5650	US	FRONTIER-FRTR
17404	US	AS-UPTIMEPIPE
3257	US	GTT-BACKBONE GTT
402306	US	AS-DATAFORGE - DataForge Technologies LLC
203057	GB	ORG-VL468-RIPE
214693	EE	FUSIORA
34989	NO	SERVETHEWORLD-AS
215607	DE	DF-TRANSIT
215691	ES	HOSTEALO
30058	US	FDCSERVERS
199186	GB	DANIEL
395470	US	-Reserved AS-
204116	GB	FYBER
199734	CZ	PETR
216129	PL	GUARDNETWORK-AS
30722	IT	VODAFONE-IT-ASN
5384	AE	EMIRATES-INTERNET Emirates Internet
15830	NL	EQUINIX
50630	DK	AIP-AS
40676	US	AS40676 - Psychz Networks
213373	SC	IPCONNECT
34854	DE	STACLAR-CARRIER
208641	BG	GEORGI-SHISHKOV
57344	BG	TELEHOUSE-AS
9009	RO	M247
10557	US	CNW
203451	RU	K-TELECOM-NETWORK
12552	SE	IPO-EU
209173	AE	WESTQURNA1FOD
35336	CH	LOADIT
48095	VG	XTGLOBAL
48181	BG	PROLAN-AS
3758	SG	SINGNET SingNet
199366	TR	TTNETDC
213637	TR	SIBERDIZAYN Siberdizayn Bilisim Teknolojileri A.S.
209170	ES	NOVATELDIGITAL
209208	PL	POBIEDA-AS
396319	US	US-INTERNET-396319
209216	DE	TRUSTED-COLO
44606	FR	ARTEFACT
51561	GB	AS-ICUK
210079	RU	EUROBYTE
216139	GB	IRONHOST
142113	HK	ESERVER-AS-AP eServer
209234	IT	DATACENTERSRL-AS-SET
197540	DE	NETCUP-AS netcup GmbH
60781	NL	LEASEWEB-NL-AMS-01 Netherlands
29066	DE	VELIANET-AS velia.net Internetdienste GmbH
204958	IT	KTS
206610	LU	MIXVOIP
205463	TR	PEMBEGULISG
62816	US	OWS
216045	TR	-Reserved AS-
58061	LV	SCALAXY-AS
397373	US	H4Y-TECHNOLOGIES
133619	IN	DESIVPS-AS-AP DESIVPS
63023	US	AS-GLOBALTELEHOST
209847	NL	THE
209102	IT	ALFASERVICE
202371	IT	ZALNETWORK
8767	DE	MNET-AS Germany
48031	UA	XSERVERCLOUD
49505	RU	SELECTEL
395092	US	SHOCK-1
209231	CY	AS-KEYRUNON
207709	TR	HIZHOSTING
15401	FR	EOLAS-AS
12453	AT	KRAFTCOM-AS
199654	GB	OXIDE-GROUP-LIMITED Oxide Group Limited
204914	GB	LABIXE
142594	AU	SPEEDYPAGELTD-AS-AP SpeedyPage Ltd
49870	NL	AS49870-BV
43309	UA	GIPERNET-AS GIPERNET-AS
200888	CH	INFOGUARD
213300	DE	ACCOMPIO-SMARTEC-AS
8315	NL	ACNBB
33993	RU	UFO-AS
31566	RU	ASSKYNETWORK FGAOU_VO_KAI
212335	LT	INTERNET-2
62240	GB	CLOUVIDER Clouvider - Global ASN
60282	GB	COVCITYCOUNCIL
36224	US	HCLTA94085
216058	AM	PROITLAB-AS
39560	AT	KT-NET
202448	CY	MVPS www.mvps.net
41960	NL	NEXTPERTISE Nextpertise
199524	LU	GCORE
202422	LU	GHOST
21221	NL	INFOPACT-AS The Netherlands
203020	IN	HOSTROYALE
43140	DE	TELEFLASH-AS
198610	RU	BEGET-AS
49392	RU	ASBAXETN
216063	DE	TWENTYFOURFIRE
213250	DE	ITP-SOLUTIONS
203446	GB	AS203446 - SMARTNET LIMITED
213850	DE	NEXOSYSTEMS
213407	TR	UZMANSOFT
262287	BR	Latitude.sh LTDA
202704	IT	AS-DIGITALIAICT
136787	PA	PACKETHUBSA-AS-AP PacketHub S.A.
204170	OM	AWASR
40065	US	CNSERVERS
42007	RU	BIG-AS
60134	ES	QUERY53 Protection DNS
44090	IR	MAHANNET-AS
204861	ES	CODISATS
205384	PL	WI-HURA
141158	MY	HSB-AS-AP HIERO7 M SDN. BHD.
199176	UA	NOVYRA-TECH-AS
396362	US	LEASEWEB-USA-NYC
29802	US	HVC-AS
42090	IE	RAPIDBB
209117	UA	IT-LANCE IT-Lance ISP
49181	RU	GCX-AS
57948	BE	COBALT IPWorks
210017	BE	DCHASSELT
199909	GB	ELITETELE
50782	AT	COSYS
25151	NL	CYSO-AS
212540	NL	WIDODH
211993	NL	SOVERIN
47644	GE	TBCBANK
60718	FR	OELIS
209206	RU	A3NET-AS
203462	IT	ASNOVACONN NovaConn - Internet Service Provider
30337	US	DELOITTE-US-ASN
41798	KZ	TTC-AS JSC Transtelecom
60609	ES	APFUTURA-ASN
42473	AT	AS-ANEXIA ANEXIA Internetdienstleistungs GmbH
201466	ES	XTA-AS
15943	DE	WTNET-AS wilhelm.tel GmbH
47890	GB	UNMANAGED-DEDICATED-SERVERS
208909	ES	AS-VERA
201893	PL	BLUE-DOT-AS
31229	PL	PL-BEYOND-AS
43424	FR	MAGICRETAIL
39568	UZ	ASIA-WIRELESS
198636	GB	CAPSULA-AS
205584	AT	CASHPOINT-AS
208559	DE	IPBCDN
20647	DE	IPB IPB Internet Provider in Berlin GmbH
46133	US	ET-ASN2
396356	US	LATITUDE-SH
41564	GB	AS41564 - Orion Network Limited
206092	CY	SECFIREWALLAS
25273	LU	BCELU BCE IT
209189	TR	ATSO
205289	ES	ES-FOFNET-AS
208781	GB	UK-SMARTCT1-20190320
209198	GB	AS-ORECAT Offshore Renewable Energy Catapult
197522	UA	ISP-KIM-NET
209062	PL	AIRPLUSN-AS
62077	TR	DTI-DC-PEERING
206264	SC	AMARUTU-TECHNOLOGY
209012	GE	MSOFT
207568	EE	TELEONE
12956	ES	TELXIUS TELXIUS Cable
209028	IL	OCTOPUSCS
207023	US	CENTRIXWEB1
207291	LT	SENDER-AS
198104	GB	STAYCONNECTED-SYSTEMS-LTD
215961	TR	BTEXPER
57032	NL	VERTEBRATUS-NL-AS
216013	US	PAPYRUS-AS
43180	SC	TRUNKNETWORKS-AS
42318	SE	FASTBIT-AS
